symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
301311,昆船智能,2025-06-04,AdaptedMAPullbackStrategy,Daily,44.35亿,692.84,2.43,0.09,-3.27,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-3.2749303178660663).; PEG近似值计算失败：利润增长率无效或非正 (-3.2749303178660663).
301356,天振股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,37.76亿,,1.27,1.69,3.75,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-37246400.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-37246400.0).
301387,光大同创,2025-06-04,AdaptedMAPullbackStrategy,Daily,39.24亿,191.77,2.39,0.51,0.56,3.43,是,是,否,否,,
301526,国际复材,2025-06-04,ChanBreakoutStrategyV8,Daily,145.93亿,,1.82,0.22,1.77,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-354000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-354000000.0).
301559,中集环科,2025-06-04,AdaptedMAPullbackStrategy,Daily,97.74亿,32.15,2.07,-0.01,-0.57,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5699325629351747).; PEG近似值计算失败：利润增长率无效或非正 (-0.5699325629351747).
302132,中航成飞,2025-06-04,AdaptedMAPullbackStrategy,Daily,2066.74亿,1845.31,10.54,-0.81,-0.90,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.8953722334004024).; PEG近似值计算失败：利润增长率无效或非正 (-0.8953722334004024).
600051,宁波联合,2025-06-04,AdaptedMAPullbackStrategy,Daily,22.54亿,27.77,0.67,0.61,0.94,0.30,是,是,是,是,,
600053,九鼎投资,2025-06-04,AdaptedMAPullbackStrategy,Daily,66.90亿,,2.58,-0.25,-7.37,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-7.374020500047897).; PE计算失败：年度净利润无效或非正 (-268000000.00000003).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-7.374020500047897).; PE计算失败：年度净利润无效或非正 (-268000000.00000003).
600121,郑州煤电,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,47.52亿,16.79,2.60,-0.15,-2.78,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-2.7797753141167774).; PEG近似值计算失败：利润增长率无效或非正 (-2.7797753141167774).
600137,浪莎股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,18.11亿,77.39,3.29,-0.10,0.96,0.80,是,否,否,是,,
600149,廊坊发展,2025-06-04,AdaptedMAPullbackStrategy,Daily,19.58亿,23.05,8.19,0.01,0.85,0.27,否,是,是,是,,
600255,鑫科材料,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,59.60亿,95.59,4.14,0.14,0.05,17.63,否,是,否,否,,
600262,北方股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,37.50亿,20.95,2.21,0.06,0.22,0.94,是,是,是,是,,
600279,重庆港,2025-06-04,AdaptedMAPullbackStrategy,Daily,74.89亿,14.16,1.11,-0.20,-2.14,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-2.1397805876276528).; PEG近似值计算失败：利润增长率无效或非正 (-2.1397805876276528).
600336,澳柯玛,2025-06-04,AdaptedMAPullbackStrategy,Daily,56.26亿,,2.27,-0.14,0.29,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-48525400.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-48525400.0).
